categoryId,category,channelId
1,Film & Animation,UCBR8-60-B28hp2BmDPdntcQ
2,Autos & Vehicles,UCBR8-60-B28hp2BmDPdntcQ
10,Music,UCBR8-60-B28hp2BmDPdntcQ
15,Pets & Animals,UCBR8-60-B28hp2BmDPdntcQ
17,Sports,UCBR8-60-B28hp2BmDPdntcQ
18,Short Movies,UCBR8-60-B28hp2BmDPdntcQ
19,Travel & Events,UCBR8-60-B28hp2BmDPdntcQ
20,Gaming,UCBR8-60-B28hp2BmDPdntcQ
21,Videoblogging,UCBR8-60-B28hp2BmDPdntcQ
22,People & Blogs,UCBR8-60-B28hp2BmDPdntcQ
23,Comedy,UCBR8-60-B28hp2BmDPdntcQ
24,Entertainment,UCBR8-60-B28hp2BmDPdntcQ
25,News & Politics,UCBR8-60-B28hp2BmDPdntcQ
26,Howto & Style,UCBR8-60-B28hp2BmDPdntcQ
27,Education,UCBR8-60-B28hp2BmDPdntcQ
28,Science & Technology,UCBR8-60-B28hp2BmDPdntcQ
30,Movies,UCBR8-60-B28hp2BmDPdntcQ
31,Anime/Animation,UCBR8-60-B28hp2BmDPdntcQ
32,Action/Adventure,UCBR8-60-B28hp2BmDPdntcQ
33,Classics,UCBR8-60-B28hp2BmDPdntcQ
34,Comedy,UCBR8-60-B28hp2BmDPdntcQ
35,Documentary,UCBR8-60-B28hp2BmDPdntcQ
36,Drama,UCBR8-60-B28hp2BmDPdntcQ
37,Family,UCBR8-60-B28hp2BmDPdntcQ
38,Foreign,UCBR8-60-B28hp2BmDPdntcQ
39,Horror,UCBR8-60-B28hp2BmDPdntcQ
40,Sci-Fi/Fantasy,UCBR8-60-B28hp2BmDPdntcQ
41,Thriller,UCBR8-60-B28hp2BmDPdntcQ
42,Shorts,UCBR8-60-B28hp2BmDPdntcQ
43,Shows,UCBR8-60-B28hp2BmDPdntcQ
44,Trailers,UCBR8-60-B28hp2BmDPdntcQ
