SAMPLE_ID,식품코드,DB군,상용제품,food_name,연도,지역 / 제조사,채취시기,식품상세분류,1회제공량,내용량_단위,총내용량(g),총내용량(mL),에너지(㎉),에너지(kj),수분(g),수분(%),단백질(g),지방(g),탄수화물(g),총당류(g),자당(g),포도당(g),과당(g),유당(g),맥아당(g),갈락토오스(g),총 식이섬유(g),총 식이섬유(%),수용성 식이섬유(g),불용성 식이섬유(g),셀룰로오스(%),리그닌(%),칼슘(㎎),철(㎎),철(㎍),마그네슘(㎎),인(㎎),칼륨(㎎),나트륨(㎎),아연(㎎),구리(㎎),구리(㎍),망간(㎎),망간(㎍),셀레늄(㎍),몰리브덴(㎍),요오드(㎍),염소(㎎),크롬(㎎),비타민 A(㎍),비타민 A(㎍ RE),레티놀(㎍),베타카로틴(㎍),비타민 D(D2+D3)(㎍),비타민 D2(㎍),비타민 D3(㎍),비타민 E(㎎),비타민 E(㎎ α-TE),알파 토코페롤(㎎),베타 토코페롤(㎎),감마 토코페롤(㎎),델타 토코페롤(㎎),알파 토코트리에놀(㎎),베타 토코트리에놀(㎎),감마 토코트리에놀(㎎),델타 토코트리에놀(㎎),토코페롤(㎎),토코트리에놀(㎎),비타민 K(㎎),비타민 K(㎍),비타민 K1(㎍),비타민 K2(㎍),비타민 B1(㎎),비타민 B1(㎍),비타민 B2(㎎),비타민 B2(㎍),나이아신(㎎),나이아신(㎎ NE),나이아신(NE)(㎎),니코틴산 (㎎),니코틴아마이드(㎎),판토텐산(㎎),판토텐산(㎍),비타민 B6(㎎),비타민 B6(㎍),피리독신(㎎),비오틴(㎍),엽산(DFE)(㎍),엽산 - 천연 엽산(㎍),엽산 - 합성 엽산(㎍),비타민 B12(㎎),비타민 B12(㎍),비타민 C(g),비타민 C(㎎),콜린(g),콜린(㎎),총 아미노산(g),총 아미노산(㎎),필수 아미노산(㎎),이소류신(㎎),류신(㎎),라이신(㎎),메티오닌(㎎),페닐알라닌(㎎),트레오닌(㎎),트립토판(㎎),발린(㎎),히스티딘(㎎),아르기닌(㎎),비필수 아미노산(㎎),티로신(㎎),시스테인(㎎),알라닌(㎎),아스파르트산(㎎),글루탐산(㎎),글리신(㎎),프롤린(㎎),세린(㎎),타우린(㎎),글리신 베타인 (㎎),호마린(㎎),트리고넬린(㎎),리보핵산(㎎),데옥시리보핵산(㎎),콜레스테롤(㎎),총 지방산(g),총 필수 지방산(g),총 포화 지방산(g),총 포화 지방산(%),부티르산(4:0)(g),부티르산(4:0)(㎎),카프로산(6:0)(g),카프로산(6:0)(㎎),카프릴산(8:0)(g),카프릴산(8:0)(㎎),카프르산(10:0)(g),카프르산(10:0)(㎎),라우르산(12:0)(g),라우르산(12:0)(㎎),라우르산(12:0)(%),트라이데칸산(13:0)(㎎),미리스트산(14:0)(g),미리스트산(14:0)(㎎),미리스트산(14:0)(%),펜타데칸산(15:0)(㎎),팔미트산(16:0)(g),팔미트산(16:0)(㎎),헵타데칸산(17:0)(㎎),스테아르산(18:0)(g),스테아르산(18:0)(㎎),스테아르산(18:0)(%),아라키드산(20:0)(g),아라키드산(20:0)(㎎),아라키드산(20:0)(%),헨에이코산산(21:0)(㎎),베헨산(22:0)(㎎),트리코산산(23:0)(㎎),리그노세르산(24:0)(㎎),총 단일 불포화지방산(g),총 단일 불포화지방산(%),미리스톨레산(14:1)(g),미리스톨레산(14:1)(㎎),미리스톨레산(14:1)(%),팔미톨레산(16:1)(g),팔미톨레산(16:1)(㎎),팔미톨레산(16:1)(%),헵타데센산(17:1)(㎎),올레산(18:1(n-9))(g),올레산(18:1(n-9))(㎎),올레산(18:1(n-9))(%),박센산(18:1(n-7))(g),박센산(18:1(n-7))(㎎),가돌레산(20:1)(g),가돌레산(20:1)(㎎),에루크산(22:1)(㎎),에루크산(22:1)(%),네르본산(24:1)(㎎),총 다중 불포화지방산(g),총 다중 불포화지방산(%),리놀레산(18:2(n-6)c)(g),리놀레산(18:2(n-6)c)(㎎),리놀레산(18:2(n-6)c)(%),알파 리놀렌산(18:3(n-3))(g),알파 리놀렌산(18:3(n-3))(㎎),감마 리놀렌산(18:3(n-6))(g),감마 리놀렌산(18:3(n-6))(㎎),스테아리돈산(18:4)(%),에이코사디에노산(20:2(n-6))(g),에이코사디에노산(20:2(n-6))(㎎),에이코사트리에노산(20:3(n-3))(㎎),에이코사트리에노산(20:3(n-6))(g),에이코사트리에노산(20:3(n-6))(㎎),아라키돈산(20:4(n-6))(g),아라키돈산(20:4(n-6))(㎎),아라키돈산(20:4(n-6))(%),에이코사테트라에노산(20:4(n-3))(㎎),에이코사펜타에노산(20:5(n-3))(g),에이코사펜타에노산(20:5(n-3))(㎎),에이코사펜타에노산(20:5(n-3))(%),도코사디에노산(22:2)(㎎),도코사펜타에노산(22:5(n-3))(g),도코사펜타에노산(22:5(n-3))(㎎),도코사헥사에노산(22:6(n-3))(g),도코사헥사에노산(22:6(n-3))(㎎),도코사헥사에노산(22:6(n-3))(%),EPA와 DHA의 합(㎎),오메가 3 지방산(g),오메가 6 지방산(g),트랜스 지방산(g),트랜스 올레산(18:1(n-9)t)(g),트랜스 올레산(18:1(n-9)t)(㎎),트랜스 리놀레산 (18:2t)(g),트랜스 리놀레산 (18:2t)(㎎),트랜스 리놀레산(18:3t)(g),트랜스 리놀레산(18:3t)(㎎),트랜스 리놀레산(18:3t)(%),냉산가용성물질(㎎),식염상당량(g),회분(g),폐기율(%),가식부(%),산가용성물질(%),카페인(㎎),성분표출처,발행기관
D000006-94-D01,D000006,음식,품목대표,꿩불고기,2019,충주,1월,육류구이,500,g,0,0,368.8,0,412.6,0,33.5,8.5,39.7,16.9,7.2,2.8,2.8,0.7,3.5,0,9.8,0,0,0,0,0,105.61,0,4,85.39,458.05,1243.12,1264.31,3.99,0.32,0,0.68,0,47.55,0,0,0,0,0,0,0,1424.58,0,0,0,0,0,0,0,0,0,0,0,0,0,8.73,0.06,0,0,0,0,0,0,0.33,0,3.61,0,0,0,0,0,0,0,0,0,0,63.13,0,0,0,0,0,2.99,0,0,0,0,0,1284.376,2328.599,2484.75,645.19,1274.927,1410.841,0,1367.688,848.539,2205.585,0,919.806,276.499,1642.381,2781.773,4784.606,1419.925,1092.295,1264.958,0,0,0,0,0,0,106.18,0,0,1.9,0,0,0,0,0,0,0,0,0,0.007,0,0,0,0.032,0,0,0,1.284,0,0,0.527,0,0,0.029,0,0,0,0,0,0,0,0,0,0,0,0.081,0,0,0,2.308,0,0,0.113,0,0.028,0,0,0,0,0,0,3.236,0,0,0.657,0,0.019,0,0,0.007,0,0,0,0,0.143,0,0,0,0,0,0,0,0,0,0.023,0,0,0,0,0,0.1,0.018,0,0.053,0,0,0,0,0,0,5.8,0,0,0,0,식약처('16) 제4권,식품의약품안전처
D000007-ZZ-D01,D000007,음식,품목대표,닭갈비,2019,전국(대표),1월,육류구이,400,g,0,0,595.61,0,276.4,0,45.9,25.8,44.9,21.2,3.6,5.9,4.8,0,6.9,0,11.6,0,0,0,0,0,98.64,0,3.38,104.42,505.25,1200.24,1535.83,3.55,0.34,0,0.97,0,57.56,0,0,0,0,0,0,38.61,2133.37,0,0,0,0,0,0,0,0,0,0,0,0,0,6.82,0.04,0,0,0,0,0.24,0,0.37,0,1.23,0,0,0,0,0,0,0,0,0,0,108.13,0,0,0,1.12,0,5.54,0,0,0,0,0,1796.242,3245.405,3593.312,878.04,1830.141,2019.939,0,1966.315,1198.582,2851.723,0,1310.513,307.73,2465.2,4361.761,7778.838,2230.079,1865.825,1833.386,0,0,0,0,0,0,193.4,0,0,6,0,0,0,0,0,0,0,0.002,0,0.032,0,0,0,0.179,0,0,0,4.485,0,0,1.271,0,0,0.032,0,0,0,0,0,0,0,0,0.051,0,0,1.29,0,0,0,8.116,0,0,0.465,0,0.082,0,0,0,0,0,0,4.851,0,0,0.443,0,0.021,0,0,0.027,0,0,0.04,0,0.128,0,0,0,0.006,0,0,0,0.016,0,0.01,0,0,0,0,0,0.2,0.075,0,0.065,0,0.013,0,0,0,0,7,0,0,0,0,식약처('16) 제4권,식품의약품안전처
D000008-66-D01,D000008,음식,품목대표,닭갈비,2019,춘천,1월,육류구이,300,g,0,0,558.47,0,195.4,0,45.5,31.6,23.1,8.5,0.6,3.2,3.2,0,1.5,0,6.6,0,0,0,0,0,63.06,0,2.5,77.07,421.66,818.11,1016.94,3.59,0.24,0,0.41,0,51.18,0,0,0,0,0,0,75.14,493.75,0,0,0,0,0,0,0,0,0,0,0,0,0,3.58,0.23,0,0,0,0,0.22,0,0.38,0,2.96,0,0,0,0,0,0,0,0,0,0,57.96,0,0,0,0,0,0,0,0,0,0,0,1573.218,3050.299,3210.69,970.59,1783.355,1873.143,0,1707.208,1133.533,2818.651,0,1287.48,291.024,2198.622,3872.999,6674.569,2274.24,1743.255,1763.982,0,0,0,0,0,0,217.67,0,0,11.3,0,0,0,0,0,0,0,0.011,0,0.066,0,0,0,0.35,0,0,0,8.662,0,0,2.14,0,0,0.036,0,0,0,0,0,0,0,0,0.106,0,0,2.225,0,0,0,13.861,0,0,0.767,0,0.142,0,0,0,0,0,0,5.434,0,0,0.391,0,0.056,0,0,0.05,0,0,0.052,0,0.163,0,0,0,0.011,0,0,0,0.022,0,0.016,0,0,0,0,0,0.3,0.14,0,0.078,0,0.032,0,0,0,0,4.5,0,0,0,0,식약처('16) 제4권,식품의약품안전처
D000009-ZZ-D01,D000009,음식,품목대표,닭꼬치,2019,전국(대표),1월,육류구이,70,g,0,0,176.723,0,35.308,0,11.562,8.565,13.348,3.152,0.106,0.817,1.64,0,0.589,0,2.072,0,0,0,0,0,17.675,0,7.637,0,122.798,152.663,286.911,0,0,0,0,0,0,0,0,0,0,0,0,14.753,46.097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.226,0,0.184,0,1.713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.444,0,0,2.315,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,1.8,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,3.3,0,0,0.2,0,0,0,0,0,0,0,0,1.9,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044,0,0,0,0,0,0,0,0,0,1.218,0,0,0,0,식약처('12) 제1권,식품의약품안전처
D000010-ZZ-D01,D000010,음식,품목대표,더덕구이,2019,전국(대표),1월,채소류구이,100,g,0,0,184,0,58.1,0,3.1,5.2,31.1,11.6,2.2,2.7,1.5,0,5.1,0,6.8,0,0,0,0,0,46.42,0,1.43,38.21,88.17,262.44,743.37,0.59,0.13,0,0.42,0,0,0,0,0,0,0,0,0,481.44,0,0,0,0,0,0,0,0,0,0,0,0,0,3.89,1.47,0,0,0,0,0.23,0,0.08,0,0.18,0,0,0,0,0,0,0,0,0,0,16.77,0,0,0,0,0,1.34,0,0,0,0,0,69.84,126.53,90.72,16.36,82.78,70.97,0,87.91,44.56,457.03,0,33.86,9.73,91.19,203.15,620.8,83.58,117.2,83.49,0,0,0,0,0,0,0.12,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0.1,0,0,0,0,0,0,0,0,2.3,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,식약처('17) 제5권,식품의약품안전처
D000011-ZZ-D01,D000011,음식,품목대표,도미구이,2019,전국(대표),1월,어패류구이,250,g,0,0,397,0,163.3,0,61.1,16.5,2.1,0,0,0,0,0,0,0,5.9,0,0,0,0,0,158.8,0,0.97,120.37,690.91,1108.02,1582.17,1.45,0.06,0,0.06,0,281.39,0,0,0,0,0,0,65.65,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,3.76,0,0,0,0,0,0.1,0,0.27,0,6.35,0,0,0,0,0,0,0,0,0,0,37.98,0,0,0,7.45,0,0.84,0,0,0,0,0,2139.19,4277.88,4920.98,1725.16,2222.94,2583.86,0,2388.48,1351.76,3926.03,0,1958.54,481.77,3337.83,5706.62,8361.83,3076.27,2060.24,2382.06,0,0,0,0,0,0,211.24,0,0,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,2.5,0,0,0.8,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,2.9,0,0,0.4,0,0.2,0,0,0,0,0,0,1.9,0,0,0.3,0,0,0,0,0,0,0,0.1,0,0.2,0,0,0,0.6,0,0,0,0.3,0,1.6,0,0,0,0,0,0.1,0,0,0,0,0.1,0,0,0,0,7,0,0,0,0,식약처('15) 제3권,식품의약품안전처
D000012-95-D01,D000012,음식,품목대표,돼지갈비,2019,서울특별시 마포구,1월,육류구이,100,g,0,0,240.32,0,56.3,0,19.5,14.4,8.1,4.5,2.5,0.6,0.6,0,0.9,0,0.3,0,0,0,0,0,47.21,0,0.92,20.74,156.16,280.71,404.66,2.75,0.07,0,0.1,0,41.24,0,0,0,0,0,0,3.07,1.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61,0.03,0,0,0,0,0.31,0,0.14,0,0.17,0,0,0,0,0,0,0,0,0,0,5.37,0,0,0,0,0,0,0,0,0,0,0,777.85,1602.984,1661.041,494.141,839.224,899.553,0,958.746,568.597,1234.027,0,628.309,169.606,1267.679,1824.928,3436.636,1079.383,782.667,781.814,0,0,0,0,0,0,49.34,0,0,4.7,0,0,0,0,0,0,0,0.013,0,0.019,0,0,0,0.195,0,0,0,2.954,0,0,1.537,0,0,0.022,0,0,0,0,0,0,0,0,0.004,0,0,0.269,0,0,0,4.577,0,0,0.34,0,0.087,0,0,0,0,0,0,1.718,0,0,0.066,0,0.004,0,0,0.057,0,0,0.017,0,0.079,0,0,0,0,0,0,0,0.007,0,0,0,0,0,0,0,0.1,0.04,0,0.019,0,0.003,0,0,0,0,1.6,0,0,0,0,식약처('16) 제4권,식품의약품안전처
D000015-ZZ-D01,D000015,음식,품목대표,병어구이,2019,전국(대표),1월,어패류구이,250,g,0,0,488,0,157.7,0,54.6,30.8,0.2,0,0,0,0,0,0,0,0.7,0,0,0,0,0,80.44,0,0.75,118.57,627.82,984.65,1567.94,1.91,0.06,0,0.07,0,224.19,0,0,0,0,0,0,60.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.72,0.01,0,0,0,0,0.12,0,0.21,0,4.38,0,0,0,0,0,0,0,0,0,0,38.25,0,0,0,7.73,0,1.41,0,0,0,0,0,2073.86,3990.88,4545.39,1585.12,1997.02,2355.61,0,2244.34,1171.23,3439.47,0,1850.54,373.21,2994.99,5186.07,7875.28,2683.86,1881.09,2237.35,0,0,0,0,0,0,198.51,0,0,8.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,6.1,0,0,1.6,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,6.8,0,0,0.6,0,0.6,0,0,0,0,0,0,2,0,0,0.3,0,0.1,0,0,0.1,0,0,0.3,0,0.3,0,0,0,1.3,0,0,0,0.8,0,3.3,0,0,0,0,0,0.2,0.1,0,0.1,0,0.1,0,0,0,0,6.7,0,0,0,0,식약처('15) 제3권,식품의약품안전처
D000016-96-D01,D000016,음식,품목대표,불고기,2019,광양,1월,육류구이,150,g,0,0,395.29,0,80.1,0,34.4,25.2,7.8,7.9,7.3,0.3,0.3,0,0,0,1.2,0,0,0,0,0,12.31,0,3.63,36.22,300.71,580.55,560.71,9.74,2.06,0,0.1,0,49.08,0,0,0,0,0,0,6.51,22.59,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7,0.11,0,0,0,0,0.08,0,0.24,0,2.26,0,0,0,0,0,0,0,0,0,0,10.23,0,0,0,0,0,0,0,0,0,0,0,1345.991,2748.191,3038.986,848.339,1437.932,1516.129,0,1604.5,1070.869,2402.034,0,1067.808,302.286,2159.095,3179.809,5754.027,1899.554,1357.561,1374.347,0,0,0,0,0,0,68.85,0,0,6.6,0,0,0,0,0,0,0,0.006,0,0.014,0,0,0,0.414,0,0,0,4.01,0,0,2.078,0,0,0.041,0,0,0,0,0,0,0,0,0.073,0,0,0.488,0,0,0,7.435,0,0,0.231,0,0.043,0,0,0,0,0,0,3.11,0,0,0.075,0,0.005,0,0,0.006,0,0,0.033,0,0.077,0,0,0,0.007,0,0,0,0.028,0,0,0,0,0,0,0,0.4,0.259,0,0.161,0,0.013,0,0,0,0,2.5,0,0,0,0,식약처('16) 제4권,식품의약품안전처
D000017-05-D01,D000017,음식,품목대표,붕장어소금구이,2019,고흥,1월,어패류구이,100,g,0,0,296.54,0,44.3,0,26,16.2,11.6,0.4,0,0,0.3,0,0,0,1,0,0,0,0,0,164.09,0,0.24,37.38,345.83,544.71,124.75,1.44,0.03,0,0.15,0,145.28,0,0,0,0,0,0,438.72,2.16,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46,0,0,0,0,0,0,0,0.11,0,0.47,0,0,0,0,0,0,0,0,0,0,12.64,0,0,0,0,0,0,0,0,0,0,0,1041.454,2033.042,2324.917,774.726,1045.632,1173.848,0,1185.996,708.331,1998.639,0,852.898,220.711,1817.946,2570.288,4045.03,2033.386,1168.116,1155.525,0,0,0,0,0,0,167.07,0,0,3.6,0,0,0,0,0,0,0,0,0,0.007,0,0,0,0.63,0,0,0,2.494,0,0,0.443,0,0,0.056,0,0,0,0,0,0,0,0,0.017,0,0,1.081,0,0,0,5.47,0,0,0.544,0,0.264,0,0,0,0,0,0,0.381,0,0,0.17,0,0.007,0,0,0.039,0,0,0.012,0,0.116,0,0,0,0.779,0,0,0,0.213,0,1.39,0,0,0,0,0,0.2,0.076,0,0.061,0,0.089,0,0,0,0,1.8,0,0,0,0,식약처('16) 제4권,식품의약품안전처
